bikeid;rental_start_date;rental_end_date;duration;fare_(in_cents);starting_location;ending_location;rough_distance_(km);start_latitude;start_longitude;end_latitude;end_longitude
1230;2021-06-11 18:03:00;2021-06-11 18:34:00;31.0;200;37.88852394141766,32.49359767427793;37.87405014038086,32.48957824707031;1.647620283;37.88852394141766;32.49359767427793;37.87405014038086;32.48957824707031
1097;2021-06-11 18:02:00;2021-06-11 18:32:00;30.0;200;37.8883617,32.49364;37.873958587646484,32.489540100097656;1.641477045;37.8883617;32.49364;37.873958587646484;32.489540100097656
1153;2021-06-11 17:59:00;2021-06-11 18:02:00;3.0;50;37.8740291,32.4895918;37.87405014038086,32.48960876464844;0.002773245;37.8740291;32.4895918;37.87405014038086;32.48960876464844
1208;2021-06-11 17:59:00;2021-06-11 18:50:00;51.0;200;37.8748785,32.4935142;37.89228057861328,32.47626876831055;2.45661587;37.8748785;32.4935142;37.89228057861328;32.47626876831055
1232;2021-06-11 17:56:00;2021-06-11 17:57:00;1.0;50;37.8740411,32.4895869;37.87400817871094,32.489620208740234;0.004684878;37.8740411;32.4895869;37.87400817871094;32.489620208740234
1143;2021-06-11 17:52:00;2021-06-11 19:02:00;70.0;200;37.8643844,32.4535803;37.8667415,32.4245847;2.558784903;37.8643844;32.4535803;37.8667415;32.4245847
1100;2021-06-11 17:52:00;2021-06-11 18:25:00;33.0;200;37.8644376,32.4536188;37.86431884765625,32.453548431396484;0.014578127;37.8644376;32.4536188;37.86431884765625;32.453548431396484
1249;2021-06-11 17:52:00;2021-06-11 19:02:00;70.0;200;37.8644663,32.4535637;37.86676025390625,32.42456817626953;2.558066829;37.8644663;32.4535637;37.86676025390625;32.42456817626953
1052;2021-06-11 17:50:00;2021-06-11 17:51:00;1.0;0;37.8644137,32.4535656;37.86439895629883,32.4536018371582;0.00357867;37.8644137;32.4535656;37.86439895629883;32.4536018371582
1220;2021-06-11 17:48:00;2021-06-11 20:09:00;141.0;500;38.02255392491328,32.51254065476463;37.979129791259766,32.51715087890625;4.845411381;38.02255392491328;32.51254065476463;37.979129791259766;32.51715087890625
1106;2021-06-11 17:48:00;2021-06-11 20:09:00;141.0;500;38.022464592741336,32.512556233046105;37.978981018066406,32.51713180541992;4.851746155;38.022464592741336;32.512556233046105;37.978981018066406;32.51713180541992
1189;2021-06-11 17:38:00;2021-06-11 18:18:00;40.0;200;37.864406821465025,32.45364241470017;37.86663818359375,32.424560546875;2.564929238;37.864406821465025;32.45364241470017;37.86663818359375;32.424560546875
1224;2021-06-11 17:38:00;2021-06-11 18:18:00;40.0;200;37.8645127,32.4538248;37.86669921875,32.42454147338867;2.58205438;37.8645127;32.4538248;37.86669921875;32.42454147338867
1030;2021-06-11 17:36:00;2021-06-11 19:04:00;88.0;350;37.8644206,32.4536539;37.864410400390625,32.45357894897461;0.006676575;37.8644206;32.4536539;37.864410400390625;32.45357894897461
1200;2021-06-11 17:25:00;2021-06-11 17:38:00;13.0;200;37.8644345,32.4536433;37.8643684387207,32.45354080200195;0.011615437;37.8644345;32.4536433;37.8643684387207;32.45354080200195
1042;2021-06-11 17:25:00;2021-06-11 17:41:00;16.0;200;37.8644061,32.453539;37.8644283,32.4535317;0.00255035;37.8644061;32.453539;37.8644283;32.4535317
1153;2021-06-11 17:19:00;2021-06-11 17:23:00;4.0;50;37.8740493,32.4895985;37.874061584472656,32.489479064941406;0.010571801;37.8740493;32.4895985;37.874061584472656;32.489479064941406
1302;2021-06-11 17:19:00;2021-06-11 19:13:00;114.0;350;37.8740523,32.489592;37.874141693115234,32.48963928222656;0.010771637;37.8740523;32.489592;37.874141693115234;32.48963928222656
1032;2021-06-11 17:16:00;2021-06-11 19:14:00;118.0;350;37.874046,32.4895992;37.87392044067383,32.48960876464844;0.013986778;37.874046;32.4895992;37.87392044067383;32.48960876464844
1054;2021-06-11 17:09:00;2021-06-11 18:42:00;93.0;350;37.9878097,32.5934376;37.94746017456055,32.522071838378906;7.698571378;37.9878097;32.5934376;37.94746017456055;32.522071838378906
1295;2021-06-11 17:03:00;2021-06-11 18:39:00;96.0;350;37.9878094,32.5934324;37.947479248046875,32.52207946777344;7.696401428;37.9878094;32.5934324;37.947479248046875;32.52207946777344
1286;2021-06-11 17:00:00;2021-06-11 17:40:00;40.0;200;37.8667116,32.424588;37.86669158935547,32.424598693847656;0.002414994;37.8667116;32.424588;37.86669158935547;32.424598693847656
1034;2021-06-11 17:00:00;2021-06-11 17:40:00;40.0;200;37.8663318,32.4246202;37.86669921875,32.424591064453125;0.040935076;37.8663318;32.4246202;37.86669921875;32.424591064453125
1043;2021-06-11 16:58:00;2021-06-11 17:01:00;3.0;50;37.8667857,32.4245607;37.866729736328125,32.42456817626953;0.006257387;37.8667857;32.4245607;37.866729736328125;32.42456817626953
1241;2021-06-11 16:53:00;2021-06-11 17:17:00;24.0;200;37.94796103615123,32.461740206957295;37.94602966308594,32.50170135498047;3.510611873;37.94796103615123;32.461740206957295;37.94602966308594;32.50170135498047
1201;2021-06-11 16:47:00;2021-06-11 17:16:00;29.0;200;37.9480832275203,32.46183064080932;37.946041107177734,32.50157928466797;3.492789106;37.9480832275203;32.46183064080932;37.946041107177734;32.50157928466797
